Event Date,Event Date,Shows,Artist,Revenue (USD),Tickets Sold,Capacity,%,Venue,City,Country,,,
11/13/2025,11/14/2025,2,Lady Gaga,5297329,26324,26324,100%,LDLC Arena,Lyon,France,,,
11/12/2025,11/12/2025,1,Corona Capital Session,1116932,9668,13356,72.39%,Estadio Banorte,Monterrey,Mexico,,,
11/12/2025,11/12/2025,1,Zoé,3721003,57332,57332,100%,Estadio GNP Seguros,Mexico City,Mexico,,,
11/11/2025,11/11/2025,1,Katy Perry,2412047,15399,15617,98.60%,Movistar Arena,Madrid,Spain,,,
11/10/2025,11/10/2025,1,Ricky Martin,1623385,11157,11157,100%,Qudos Bank Arena,Sydney,Australia,,,
11/09/2025,11/09/2025,1,Diljit Dosanjh,2027625,12116,12470,97.16%,RAC Arena,Perth,Australia,,,
11/09/2025,11/09/2025,1,Goo Goo Dolls,650127,5513,5513,100%,Beacon Theatre ,New York,United States,,,
11/09/2025,11/09/2025,1,TobyMac,88300,2142,2362,90.69%,Old National Events Plaza,Evansville,United States,,,
11/08/2025,11/09/2025,2,Kaytranada / Justice,2582575,25628,25628,100%,Barclays Center,New York,United States,,,
11/08/2025,11/08/2025,1,Morat,617141,10547,10547,100%,Campo de Fútbol de Adeje,Adeje,Spain,,,
11/07/2025,11/08/2025,2,Deadmau5,970582,14364,18456,77.83%,Red Rocks Amphitheatre,Morrison,United States,,,
11/07/2025,11/07/2025,1,Doechii,725388,8531,8531,100%,Bill Graham Civic Auditorium,San Francisco,United States,,,
11/07/2025,11/07/2025,1,Katy Perry,1522890,12910,13131,98.32%,LDLC Arena,Lyon,France,,,
11/07/2025,11/07/2025,1,Playboi Carti,1385806,11637,11980,97.14%,Prudential Center,Newark,United States,,,
11/06/2025,11/06/2025,1,Giveon,1446442,12890,12890,100%,Madison Square Garden,New York,United States,,,
11/06/2025,11/06/2025,1,Playboi Carti,1585945,12363,12363,100%,Barclays Center,New York,United States,,,
11/05/2025,11/05/2025,1,Diljit Dosanjh,1241111,6541,6541,100%,Entertainment Centre,Adelaide,Australia,,,
11/05/2025,11/05/2025,1,Massive Attack,490751,5586,5586,100%,Movistar Arena,Bogotá,Colombia,,,
11/04/2025,11/05/2025,2,Lady Gaga,5060570,27209,27209,100%,Uber Arena,Berlin,Germany,,,
11/03/2025,11/03/2025,1,Bryan Adams,789938,8948,10405,85.99%,Allstate Arena ,Rosemont,United States,,,
