State,Shows,Revenue,Tickets Sold,Capacity,Cities,Venues,Utilization %,Avg Ticket Price,Revenue per Show
California,719,1359510870,9063907,9416528,40,104,96.2552970691533,149.99170556361622,1890835.702364395
Nevada,488,1005707852,4535769,4643102,5,34,97.68833422138906,221.7281903024603,2060876.7459016393
New York,703,827939278,6111917,6398208,16,55,95.5254502510703,135.4631088740243,1177723.012802276
Texas,451,666894982,5293376,5596885,27,70,94.57717998493806,125.98670149258243,1478702.842572062
Florida,329,494910332,3741029,3948258,23,70,94.75138149533288,132.2925676331298,1504286.7234042552
Illinois,282,441114876,2983708,3097788,11,44,96.31737226692078,147.84116810358117,1564237.1489361702
New Jersey,164,418154320,2581233,2737764,12,21,94.28252398672785,161.99789790383124,2549721.463414634
Washington,303,403950543,2993583,3111446,16,49,96.21195418464598,134.93881512555356,1333170.108910891
Pennsylvania,158,320781745,2441100,2512494,13,34,97.15844097538144,131.40868665765433,2030264.2088607594
Georgia,205,318588034,2181798,2261449,10,29,96.47787767931092,146.0208662763464,1554087.9707317073
Massachusetts,244,301789507,2202090,2306979,5,23,95.4534046473765,137.04685412494493,1236842.2418032787
Colorado,161,229535094,1874102,1949775,9,29,96.11888551243092,122.4773752976092,1425683.8136645963
North Carolina,166,185489474,1605050,1801006,6,32,89.11963646983963,115.56616554001432,1117406.469879518
Virginia,96,168961517,1292045,1368403,10,23,94.41991869354277,130.77061325263438,1760015.8020833333
Michigan,98,168925699,1322443,1405355,9,23,94.10028071199092,127.73760305737184,1723731.6224489796
Ohio,109,158668638,1405491,1507920,10,32,93.20726563743435,112.89196302217516,1455675.5779816513
Tennessee,141,154339335,1382822,1452654,6,24,95.19279883578608,111.61185966089634,1094605.2127659575
Missouri,95,148413249,1250177,1329544,11,23,94.03050970859181,118.71378932743123,1562244.7263157894
Minnesota,75,137646236,1073013,1110995,5,11,96.58126274195654,128.2801196257641,1835283.1466666667
Arizona,110,136354683,1077293,1148774,7,26,93.77762727916891,126.57158544611355,1239588.0272727273
Maryland,81,133186782,970997,1016074,5,13,95.5636105244303,137.1649778526607,1644281.2592592593
Oklahoma,80,84252558,819828,916123,6,11,89.4888568456419,102.76857828715292,1053156.975
Indiana,66,83028761,887294,984002,7,15,90.1719711951805,93.57525352363479,1258011.5303030303
South Carolina,87,82894744,799081,937836,9,19,85.20476927735766,103.7375985663531,952813.1494252874
Utah,57,81850153,708343,733321,7,16,96.59385180568945,115.55158023725794,1435967.596491228
Connecticut,87,77769126,767333,833799,9,17,92.02853445494658,101.34990414852483,893898.0
Wisconsin,74,75787749,718962,839212,12,32,85.67108191970563,105.41273252272026,1024158.7702702703
Oregon,80,66373236,599308,665927,6,21,89.99605061816085,110.74979142611144,829665.45
Alabama,62,47198315,485676,535758,7,24,90.6521227867806,97.1806615933256,761263.1451612903
Louisiana,31,45604985,348925,378531,4,11,92.17871191527246,130.70139714838433,1471128.5483870967
Nebraska,63,34460045,337229,398563,3,13,84.61121579273541,102.18588852085675,546984.8412698413
Kentucky,36,31711523,296407,336090,6,14,88.19274599065726,106.98641732482702,880875.6388888889
Iowa,20,23637360,147413,176100,8,14,83.70982396365702,160.34786619904622,1181868.0
Arkansas,27,23559168,265349,288984,5,5,91.82134651053346,88.78559180550897,872561.7777777778
New Hampshire,24,14202465,189334,221434,5,8,85.50358120252535,75.01275523677734,591769.375
Idaho,26,13906484,138750,155469,5,12,89.24608764448217,100.22691171171171,534864.7692307692
Montana,7,11336779,80123,83206,4,6,96.29473836021441,141.4921932528737,1619539.857142857
North Dakota,8,8714608,61185,70465,4,6,86.83034130419357,142.43046498324753,1089326.0
Maine,10,8686629,95727,101908,3,4,93.93472543863092,90.74377134977593,868662.9
New Mexico,9,6465643,101695,104483,3,3,97.33162332628275,63.57876985102512,718404.7777777778
Hawaii,9,6247851,52466,56784,1,3,92.39574528036066,119.08380665573895,694205.6666666666
Kansas,6,4833396,47637,52183,2,4,91.28835061226836,101.46306442471189,805566.0
Mississippi,11,4603066,65108,83049,6,8,78.3970908740623,70.69893100694232,418460.54545454547
Alaska,6,3915289,68010,87302,1,2,77.90199537238551,57.56931333627408,652548.1666666666
Rhode Island,10,3761811,44537,53163,3,6,83.77442958448546,84.46484945101825,376181.1
State of São Paulo,1,2004975,48954,48954,1,1,100.0,40.95630591984312,2004975.0
South Dakota,8,1626357,28471,39967,2,6,71.23626992268622,57.123283340943416,203294.625
West Virginia,9,1613508,25416,27277,4,7,93.17740220698757,63.48394711992446,179278.66666666666
Rio de Janeiro,1,1216141,12168,12168,1,1,100.0,99.94584155161078,1216141.0
Delaware,2,519104,8755,8755,1,2,100.0,59.292290119931465,259552.0
Vermont,1,95722,1326,1439,1,1,92.14732453092425,72.18853695324283,95722.0
Wyoming,1,55904,1459,1459,1,1,100.0,38.31665524331734,55904.0
